t1_  1,t1_  2,t1_  3,t1_  4,t1_  5,t1_  6,t1_  7,t1_  8,t1_  9,t1_ 10,t1_ 11,t1_ 12,t1_ 13,t1_ 14,t1_ 15,t1_ 16,t1_ 17,t1_ 18,t1_ 19,t1_ 20,t1_ 21,t1_ 22,t1_ 23,t1_ 24,t1_ 25,t1_ 26,t1_ 27,t1_ 28,t1_ 29,t1_ 30,t1_ 31,t1_ 32,t1_ 33,t1_ 34,t1_ 35,t1_ 36,t1_ 37,t1_ 38,t1_ 39,t1_ 40,t1_ 41,t1_ 42,t1_ 43,t1_ 44,t1_ 45,t1_ 46,t1_ 47,t1_ 48,t1_ 49,t1_ 50,t1_ 51,t1_ 52,t1_ 53,t1_ 54,t1_ 55,t1_ 56,t1_ 57,t1_ 58,t1_ 59,t1_ 60,t1_ 61,t1_ 62,t1_ 63,t1_ 64,t1_ 65,t1_ 66,t1_ 67,t1_ 68,t1_ 69,t1_ 70,t1_ 71,t1_ 72,t1_ 73,t1_ 74,t1_ 75,t1_ 76,t1_ 77,t1_ 78,t1_ 79,t1_ 80,t1_ 81,t1_ 82,t1_ 83,t1_ 84,t1_ 85,t1_ 86,t1_ 87,t1_ 88,t1_ 89,t1_ 90,t1_ 91,t1_ 92,t1_ 93,t1_ 94,t1_ 95,t1_ 96,t1_ 97,t1_ 98,t1_ 99,t1_100
81,81,81,81,81,80,79,78,77,78,78,78,78,79,79,79,79,79,80,80,80,80,80,81,81,81,80,80,80,80,80,79,79,79,79,79,78,78,79,79,79,79,79,80,80,80,80,80,81,81,81,80,80,80,80,80,79,79,79,79,79,78,78,79,79,79,79,79,80,80,80,80,80,81,81,81,80,80,79,79,79,78,78,79,79,79,80,80,81,81,81,81,81,81,81,81,81,81,81,81
81,81,81,81,81,80,79,78,77,78,78,78,78,79,79,79,79,79,80,80,80,80,80,81,81,81,80,80,80,80,80,79,79,79,79,79,78,78,79,79,79,79,79,80,80,80,80,80,81,81,81,80,80,80,80,80,79,79,79,79,79,78,78,79,79,79,79,79,80,80,80,80,80,81,81,81,80,80,79,79,79,78,78,79,79,79,80,80,81,81,81,81,81,81,81,81,81,81,81,81
81,81,81,81,81,80,79,78,77,78,78,78,78,79,79,79,79,79,80,80,80,80,80,81,81,81,80,80,80,80,80,79,79,79,79,79,78,78,79,79,79,79,79,80,80,80,80,80,81,81,81,80,80,80,80,80,79,79,79,79,79,78,78,79,79,79,79,79,80,80,80,80,80,81,81,81,80,80,79,79,79,78,78,79,79,79,80,80,81,81,81,81,81,81,81,81,81,81,81,81
81,81,81,81,81,80,79,78,77,78,78,78,78,79,79,79,79,79,80,80,80,80,80,81,81,81,80,80,80,80,80,79,79,79,79,79,78,78,79,79,79,79,79,80,80,80,80,80,81,81,81,80,80,80,80,80,79,79,79,79,79,78,78,79,79,79,79,79,80,80,80,80,80,81,81,81,80,80,79,79,79,78,78,79,79,79,80,80,81,81,81,81,81,81,81,81,81,81,81,81
81,81,81,81,81,80,79,78,77,78,78,78,78,79,79,79,79,79,80,80,80,80,80,81,81,81,80,80,80,80,80,79,79,79,79,79,78,78,79,79,79,79,79,80,80,80,80,80,81,81,81,80,80,80,80,80,79,79,79,79,79,78,78,79,79,79,79,79,80,80,80,80,80,81,81,81,80,80,79,79,79,78,78,79,79,79,80,80,81,81,81,81,81,81,81,81,81,81,81,81
81,81,81,81,81,80,79,78,77,78,78,78,78,79,79,79,79,79,80,80,80,80,80,81,81,81,80,80,80,80,80,79,79,79,79,79,78,78,79,79,79,79,79,80,80,80,80,80,81,81,81,80,80,80,80,80,79,79,79,79,79,78,78,79,79,79,79,79,80,80,80,80,80,81,81,81,80,80,79,79,79,78,78,79,79,79,80,80,81,81,81,81,81,81,81,81,81,81,81,81
81,81,81,81,81,80,79,78,77,78,78,78,78,79,79,79,79,79,80,80,80,80,80,81,81,81,80,80,80,80,80,79,79,79,79,79,78,78,79,79,79,79,79,80,80,80,80,80,81,81,81,80,80,80,80,80,79,79,79,79,79,78,78,79,79,79,79,79,80,80,80,80,80,81,81,81,80,80,79,79,79,78,78,79,79,79,80,80,81,81,81,81,81,81,81,81,81,81,81,81
81,81,81,81,81,80,79,78,77,78,78,78,78,79,79,79,79,79,80,80,80,80,80,81,81,81,80,80,80,80,80,79,79,79,79,79,78,78,79,79,79,79,79,80,80,80,80,80,81,81,81,80,80,80,80,80,79,79,79,79,79,78,78,79,79,79,79,79,80,80,80,80,80,81,81,81,80,80,79,79,79,78,78,79,79,79,80,80,81,81,81,81,81,81,81,81,81,81,81,81
81,81,81,81,81,80,79,78,77,78,78,78,78,79,79,79,79,79,80,80,80,80,80,81,81,81,80,80,80,80,80,79,79,79,79,79,78,78,79,79,79,79,79,80,80,80,80,80,81,81,81,80,80,80,80,80,79,79,79,79,79,78,78,79,79,79,79,79,80,80,80,80,80,81,81,81,80,80,79,79,79,78,78,79,79,79,80,80,81,81,81,81,81,81,81,81,81,81,81,81
81,81,81,81,81,80,79,78,77,78,78,78,78,79,79,79,79,79,80,80,80,80,80,81,81,81,80,80,80,80,80,79,79,79,79,79,78,78,79,79,79,79,79,80,80,80,80,80,81,81,81,80,80,80,80,80,79,79,79,79,79,78,78,79,79,79,79,79,80,80,80,80,80,81,81,81,80,80,79,79,79,78,78,79,79,79,80,80,81,81,81,81,81,81,81,81,81,81,81,81
